ZIP Code,YoY Growth 2024,Total Policies 2024,YoY Growth 2023,Total Policies 2023,YoY Growth 2022,Total Policies 2022,YoY Growth 2021,Total Policies 2021,Total Policies 2020
92648,311.10%,37,28.60%,9,30.00%,7,23.10%,10,13
92649,244.40%,31,0.00%,9,10.00%,9,11.10%,10,9
92651,64.50%,969,26.10%,589,24.50%,467,24.60%,375,301
92653,220.00%,80,66.70%,25,0.00%,15,11.80%,15,17
92655,300.00%,12,50.00%,3,0.00%,2,100.00%,2,1
92656,197.30%,223,82.90%,75,2.40%,41,10.50%,42,38
92657,108.80%,261,21.40%,125,10.80%,103,66.10%,93,56
92660,153.60%,71,64.70%,28,41.70%,17,20.00%,12,10
92661,700.00%,16,50.00%,2,20.00%,4,66.70%,5,3
92662,0.00%,3,200.00%,3,0.00%,1,0.00%,1,1
92663,106.70%,31,66.70%,15,12.50%,9,0.00%,8,8
92672,212.80%,294,104.30%,94,58.60%,46,16.00%,29,25
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92673,284.90%,458,153.20%,119,46.90%,47,18.50%,32,27
92675,196.00%,299,55.40%,101,6.60%,65,15.10%,61,53
92676,4.50%,553,4.30%,579,3.70%,555,15.80%,535,462
92677,147.20%,440,42.40%,178,31.60%,125,25.00%,95,76
92679,54.20%,2186,31.50%,1418,28.30%,1078,90.50%,840,441
92683,371.10%,179,72.70%,38,29.40%,22,5.60%,17,18
92688,296.10%,614,154.10%,155,13.00%,61,25.60%,54,43
92691,283.30%,69,63.60%,18,8.30%,11,25.00%,12,16
92692,264.30%,153,75.00%,42,22.60%,24,14.80%,31,27
92694,317.60%,522,145.10%,125,82.10%,51,75.00%,28,16
92701,34.80%,89,4.80%,66,6.00%,63,13.00%,67,77
92703,35.20%,123,2.20%,91,4.30%,89,0.00%,93,93
92704,87.40%,163,8.70%,87,2.40%,80,2.40%,82,84
92705,112.10%,123,52.60%,58,0.00%,38,72.70%,38,22
92706,91.70%,23,50.00%,12,33.30%,8,0.00%,6,6
92707,45.90%,108,1.30%,74,9.60%,75,8.80%,83,91
92708,255.60%,64,50.00%,18,20.00%,12,7.10%,15,14
92780,566.70%,40,100.00%,6,62.50%,3,14.30%,8,7
92782,209.10%,68,57.10%,22,27.30%,14,120.00%,11,5
92801,134.50%,68,31.80%,29,8.30%,22,7.70%,24,26
92802,91.70%,23,0.00%,12,9.10%,12,15.40%,11,13
92804,129.40%,78,78.90%,34,5.00%,19,13.00%,20,23
92805,160.70%,73,3.40%,28,3.60%,29,27.30%,28,22
92806,342.90%,31,40.00%,7,0.00%,5,37.50%,5,8
92807,175.40%,314,56.20%,114,10.60%,73,53.50%,66,43
92808,347.90%,318,82.10%,71,34.50%,39,141.70%,29,12
92821,106.90%,211,39.70%,102,2.80%,73,26.80%,71,56
92823,81.30%,116,14.30%,64,12.00%,56,22.00%,50,41
92831,95.20%,41,75.00%,21,0.00%,12,0.00%,12,12
92832,75.00%,21,50.00%,12,14.30%,8,50.00%,7,14
92833,125.00%,81,56.50%,36,8.00%,23,4.20%,25,24
92835,78.90%,34,58.30%,19,7.70%,12,7.10%,13,14
92840,360.00%,46,100.00%,10,28.60%,5,12.50%,7,8
92841,616.70%,43,50.00%,6,100.00%,4,0.00%,2,2
92843,300.00%,44,57.10%,11,12.50%,7,20.00%,8,10
92844,340.00%,22,66.70%,5,200.00%,3,0.00%,1,1
92845,600.00%,7,0.00%,1,0.00%,1,0.00%,,
92861,140.00%,12,25.00%,5,33.30%,4,200.00%,3,1
92865,140.00%,12,16.70%,5,20.00%,6,25.00%,5,4
92866,333.30%,13,50.00%,3,33.30%,2,0.00%,3,3
92867,225.70%,114,169.20%,35,44.40%,13,12.50%,9,8
92868,142.90%,17,40.00%,7,66.70%,5,62.50%,3,8
92869,202.90%,103,21.40%,34,27.30%,28,4.30%,22,23
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92870,84.60%,48,73.30%,26,36.40%,15,26.70%,11,15
92886,213.30%,423,51.70%,135,0.00%,89,50.80%,89,59
92887,69.70%,533,29.20%,314,3.80%,243,116.70%,234,108
95602,20.90%,2499,24.40%,2067,7.90%,1662,22.70%,1540,1255
95603,82.30%,1559,24.80%,855,1.50%,685,59.60%,675,423
95631,1.20%,1558,3.10%,1539,4.80%,1493,36.50%,1425,1044
95648,101.30%,161,77.80%,80,7.10%,45,90.90%,42,22
95650,81.50%,501,74.70%,276,23.40%,158,62.00%,128,79
95658,111.30%,469,65.70%,222,14.50%,134,39.30%,117,84
95661,125.00%,9,100.00%,4,0.00%,2,0.00%,2,
95663,120.50%,86,143.80%,39,0.00%,16,77.80%,16,9
95677,366.70%,42,200.00%,9,50.00%,3,0.00%,2,2
95678,400.00%,15,50.00%,3,50.00%,2,300.00%,4,1
95681,433.30%,16,0.00%,3,50.00%,3,0.00%,2,
95701,14.60%,267,8.40%,233,4.90%,215,13.30%,205,181
95703,9.00%,339,16.50%,311,6.40%,267,54.00%,251,163
95713,18.30%,1717,3.70%,1451,2.50%,1399,47.40%,1365,926
95714,19.00%,100,12.00%,84,7.10%,75,1.40%,70,69
95715,8.80%,73,12.70%,80,4.40%,71,19.30%,68,57
95717,17.50%,47,0.00%,40,14.30%,40,16.70%,35,30
95722,7.50%,1233,19.50%,1147,8.70%,960,46.20%,883,604
95724,78.10%,57,10.30%,32,38.10%,29,50.00%,21,14
95736,0.00%,17,0.00%,,0.00%,,0.00%,,
95746,100.80%,474,62.80%,236,59.30%,145,65.50%,91,55
95747,127.30%,25,450.00%,11,50.00%,2,300.00%,4,1
95765,400.00%,15,200.00%,3,0.00%,1,0.00%,1,
96140,16.40%,660,38.60%,567,54.90%,409,92.70%,264,137
96141,55.30%,494,56.70%,318,31.00%,203,49.00%,155,104
96143,19.30%,549,15.90%,460,24.80%,397,59.80%,318,199
96145,26.20%,1304,14.30%,1033,12.30%,904,67.40%,805,481
96146,16.30%,735,14.10%,632,11.00%,554,56.90%,499,318
96148,23.70%,423,50.00%,342,34.90%,228,87.80%,169,90
95915,100.00%,2,0.00%,1,0.00%,1,0.00%,1,
95923,13.80%,66,26.10%,58,2.10%,46,38.20%,47,34
95934,0.00%,12,71.40%,12,12.50%,7,14.30%,8,7
95947,38.80%,93,28.80%,67,13.30%,52,39.50%,60,43
95956,10.60%,73,20.00%,66,25.00%,55,33.30%,44,33
95971,37.40%,529,54.60%,385,18.00%,249,47.60%,211,143
95983,11.40%,39,34.60%,35,8.30%,26,4.30%,24,23
95984,17.40%,19,0.00%,23,9.50%,23,40.00%,21,15
96020,25.30%,287,50.70%,229,6.20%,152,28.60%,162,126
96063,22.60%,76,12.70%,62,19.60%,55,84.00%,46,25
96103,25.30%,530,37.30%,423,16.70%,308,21.10%,264,218
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
96105,39.30%,39,21.70%,28,4.50%,23,37.50%,22,16
96106,11.00%,111,25.00%,100,17.60%,80,17.20%,68,58
96122,33.40%,511,45.60%,383,14.80%,263,26.50%,229,181
96129,40.00%,14,150.00%,10,0.00%,4,0.00%,4,4
96137,13.90%,926,33.30%,813,12.50%,610,27.50%,542,425
91752,101.00%,199,30.30%,99,2.70%,76,5.70%,74,70
92201,203.60%,85,7.70%,28,7.10%,26,0.00%,28,28
92203,223.10%,42,30.00%,13,25.00%,10,11.10%,8,9
92210,385.70%,34,40.00%,7,150.00%,5,60.00%,2,5
92211,875.00%,39,100.00%,4,33.30%,2,50.00%,3,2
92220,99.20%,753,45.40%,378,39.00%,260,12.00%,187,167
92223,97.00%,1269,60.20%,644,42.00%,402,29.20%,283,219
92225,184.20%,108,72.70%,38,22.20%,22,12.50%,18,16
92230,66.10%,103,67.60%,62,164.30%,37,16.70%,14,12
92234,495.70%,137,9.50%,23,12.50%,21,20.00%,24,30
92236,135.70%,33,17.60%,14,10.50%,17,9.50%,19,21
92239,500.00%,6,0.00%,1,0.00%,,0.00%,,
92240,179.70%,193,43.80%,69,5.90%,48,7.30%,51,55
92241,250.00%,119,61.90%,34,31.30%,21,0.00%,16,16
92253,360.00%,69,36.40%,15,10.00%,11,28.60%,10,14
92254,45.50%,16,37.50%,11,33.30%,8,0.00%,6,6
92258,300.00%,8,0.00%,2,0.00%,2,0.00%,2,2
92260,370.80%,113,26.30%,24,58.30%,19,20.00%,12,15
92262,246.40%,97,64.70%,28,6.30%,17,0.00%,16,16
92264,461.50%,146,85.70%,26,40.00%,14,0.00%,10,10
92270,295.00%,79,100.00%,20,0.00%,10,16.70%,10,12
92274,116.70%,52,41.20%,24,13.30%,17,6.30%,15,16
92276,95.70%,45,9.50%,23,8.70%,21,15.00%,23,20
92282,47.10%,75,24.40%,51,5.10%,41,11.40%,39,35
92320,67.50%,573,93.20%,342,88.30%,177,54.10%,94,61
92501,58.10%,68,53.60%,43,6.70%,28,3.40%,30,29
92503,162.30%,850,55.80%,324,14.90%,208,28.40%,181,141
92504,159.50%,327,50.00%,126,12.00%,84,8.70%,75,69
92505,180.90%,250,78.00%,89,2.00%,50,0.00%,51,51
92506,273.80%,385,77.60%,103,38.10%,58,10.50%,42,38
92507,169.30%,404,94.80%,150,6.10%,77,7.90%,82,76
92508,289.30%,218,124.00%,56,8.70%,25,11.50%,23,26
92509,97.30%,588,23.10%,298,12.60%,242,7.00%,215,201
92518,0.00%,1,0.00%,1,0.00%,,0.00%,,
92530,79.20%,1625,50.90%,907,29.50%,601,30.30%,464,356
92532,121.40%,839,56.60%,379,23.50%,242,78.20%,196,110
92536,52.40%,500,21.50%,328,45.90%,270,55.50%,185,119
92539,32.40%,630,24.00%,476,29.30%,384,42.80%,297,208
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92543,187.20%,359,47.10%,125,11.80%,85,18.80%,76,64
92544,83.40%,1091,36.80%,595,16.90%,435,27.80%,372,291
92545,173.40%,607,43.20%,222,15.70%,155,54.00%,134,87
92548,107.60%,328,37.40%,158,30.70%,115,60.00%,88,55
92549,2.50%,2548,5.90%,2487,22.50%,2348,20.70%,1917,1588
92551,197.30%,220,29.80%,74,9.50%,57,4.50%,63,66
92553,137.30%,363,30.80%,153,4.10%,117,4.30%,122,117
92555,201.30%,717,81.70%,238,22.40%,131,13.80%,107,94
92557,139.60%,690,65.50%,288,25.20%,174,21.90%,139,114
92561,34.10%,354,23.90%,264,38.30%,213,43.90%,154,107
92562,62.90%,1789,42.00%,1098,39.30%,773,43.00%,555,388
92563,217.30%,606,72.10%,191,19.40%,111,66.10%,93,56
92567,83.60%,303,38.70%,165,40.00%,119,66.70%,85,51
92570,80.10%,1940,49.00%,1077,31.90%,723,34.60%,548,407
92571,111.80%,430,26.10%,203,1.30%,161,2.60%,159,155
92582,100.00%,156,27.90%,78,52.50%,61,5.30%,40,38
92583,188.90%,338,51.90%,117,14.90%,77,13.60%,67,59
92584,146.30%,633,46.90%,257,43.40%,175,100.00%,122,61
92585,247.20%,250,63.60%,72,41.90%,44,14.80%,31,27
92586,515.80%,234,81.00%,38,50.00%,21,0.00%,14,14
92587,160.70%,584,107.40%,224,12.50%,108,50.00%,96,64
92590,17.60%,408,30.90%,347,74.30%,265,49.00%,152,102
92591,206.00%,153,31.60%,50,90.00%,38,42.90%,20,14
92592,100.80%,1313,38.00%,654,83.70%,474,61.30%,258,160
92595,72.20%,1212,132.30%,704,21.20%,303,64.50%,250,152
92596,229.40%,336,59.40%,102,52.40%,64,55.60%,42,27
92860,275.00%,195,67.70%,52,3.30%,31,25.00%,30,40
92879,113.10%,228,30.50%,107,7.90%,82,4.10%,76,73
92880,238.50%,440,58.50%,130,6.50%,82,11.60%,77,69
92881,206.70%,365,70.00%,119,16.70%,70,46.30%,60,41
92882,112.30%,1225,77.50%,577,28.50%,325,27.80%,253,198
92883,132.60%,1433,102.60%,616,58.30%,304,97.90%,192,97
95608,162.50%,21,20.00%,8,66.70%,10,40.00%,6,10
95610,128.60%,16,133.30%,7,25.00%,3,33.30%,4,3
95615,0.00%,,0.00%,,0.00%,,0.00%,,
95621,50.00%,12,60.00%,8,150.00%,5,0.00%,2,2
95624,314.30%,29,250.00%,7,0.00%,2,33.30%,2,3
95626,42.90%,10,133.30%,7,200.00%,3,50.00%,1,2
95628,170.00%,27,150.00%,10,50.00%,4,300.00%,8,2
95630,550.00%,143,266.70%,22,25.00%,6,100.00%,8,4
95632,66.70%,15,80.00%,9,400.00%,5,0.00%,1,1
95638,40.00%,7,0.00%,5,25.00%,5,300.00%,4,1
95641,33.30%,8,20.00%,6,16.70%,5,20.00%,6,5
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
95655,0.00%,1,0.00%,,0.00%,,0.00%,,
95660,128.60%,16,16.70%,7,40.00%,6,42.90%,10,7
95662,200.00%,21,600.00%,7,0.00%,1,100.00%,,1
95670,328.60%,30,250.00%,7,50.00%,2,300.00%,4,1
95673,100.00%,22,10.00%,11,11.10%,10,12.50%,9,8
95683,100.00%,32,220.00%,16,25.00%,5,100.00%,4,2
95690,50.00%,6,33.30%,4,50.00%,3,100.00%,2,1
95693,380.00%,24,66.70%,5,40.00%,3,66.70%,5,3
95742,180.00%,14,0.00%,5,0.00%,,100.00%,,1
95757,550.00%,13,33.30%,2,0.00%,3,50.00%,3,2
95758,733.30%,25,200.00%,3,0.00%,1,50.00%,1,2
95811,40.00%,14,42.90%,10,16.70%,7,0.00%,6,6
95814,20.00%,6,25.00%,5,0.00%,4,0.00%,4,4
95815,51.90%,41,3.60%,27,3.40%,28,58.60%,29,70
95816,44.40%,26,63.60%,18,10.00%,11,23.10%,10,13
95817,11.80%,19,26.10%,17,4.20%,23,0.00%,24,24
95818,18.20%,26,10.00%,22,5.30%,20,0.00%,19,19
95819,42.90%,10,40.00%,7,16.70%,5,100.00%,6,3
95820,62.50%,39,14.30%,24,3.70%,28,34.10%,27,41
95821,50.00%,18,33.30%,12,28.60%,9,50.00%,7,14
95822,70.00%,34,0.00%,20,0.00%,20,20.00%,20,25
95823,333.30%,39,0.00%,9,18.20%,9,10.00%,11,10
95824,171.40%,19,30.00%,7,0.00%,10,33.30%,10,15
95825,250.00%,7,0.00%,2,33.30%,2,0.00%,3,3
95826,80.00%,9,150.00%,5,50.00%,2,33.30%,4,6
95827,240.00%,17,25.00%,5,33.30%,4,200.00%,3,1
95828,363.60%,51,83.30%,11,0.00%,6,14.30%,6,7
95829,100.00%,24,100.00%,12,14.30%,6,22.20%,7,9
95830,100.00%,2,0.00%,1,0.00%,,0.00%,,
95831,120.00%,11,66.70%,5,50.00%,3,50.00%,2,4
95832,350.00%,9,50.00%,2,100.00%,4,0.00%,2,2
95833,185.70%,20,12.50%,7,11.10%,8,30.80%,9,13
95834,0.00%,8,100.00%,,66.70%,1,50.00%,3,2
95835,700.00%,8,0.00%,1,0.00%,,0.00%,,
95837,0.00%,1,0.00%,,0.00%,,0.00%,,
95838,61.50%,63,2.50%,39,11.10%,40,25.00%,45,60
95841,266.70%,11,50.00%,3,0.00%,2,33.30%,2,3
95842,114.30%,15,75.00%,7,100.00%,4,50.00%,2,4
95843,300.00%,8,100.00%,2,0.00%,1,100.00%,,2
95864,550.00%,13,0.00%,2,100.00%,,33.30%,2,3
95023,115.20%,99,17.90%,46,17.00%,39,88.00%,47,25
95043,3.70%,52,38.50%,54,44.40%,39,107.70%,27,13
95045,76.70%,53,11.10%,30,12.50%,27,50.00%,24,16
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
95075,42.90%,10,250.00%,7,0.00%,2,0.00%,,
91701,115.90%,190,54.40%,88,29.50%,57,2.20%,44,45
91708,266.70%,33,28.60%,9,0.00%,7,16.70%,7,6
91709,78.90%,1692,34.20%,946,19.50%,705,22.40%,590,482
91710,72.40%,181,34.60%,105,10.30%,78,8.70%,87,80
91730,112.20%,87,10.80%,41,2.60%,37,13.60%,38,44
91737,83.90%,228,27.80%,124,7.80%,97,7.10%,90,84
91739,99.30%,269,60.70%,135,7.70%,84,32.20%,78,59
91759,6.20%,138,10.20%,130,13.50%,118,6.30%,104,111
91761,98.00%,202,27.50%,102,1.20%,80,4.70%,81,85
91762,97.80%,178,36.40%,90,8.30%,66,6.50%,72,77
91763,58.30%,95,20.00%,60,0.00%,50,0.00%,50,50
91764,60.00%,160,20.50%,100,5.70%,83,6.00%,88,83
91784,78.80%,202,28.40%,113,17.30%,88,19.00%,75,63
91786,114.30%,105,28.90%,49,2.60%,38,4.90%,39,41
92242,414.30%,36,16.70%,7,14.30%,6,0.00%,7,7
92252,120.20%,185,58.50%,84,17.80%,53,0.00%,45,45
92256,109.10%,138,69.20%,66,11.40%,39,12.50%,35,40
92267,1000.00%,22,100.00%,2,0.00%,1,0.00%,1,
92268,11.30%,59,71.00%,53,0.00%,31,0.00%,,
92277,128.60%,160,66.70%,70,23.60%,42,41.00%,55,39
92280,400.00%,5,0.00%,1,0.00%,1,50.00%,1,2
92284,140.40%,387,140.30%,161,34.30%,67,7.40%,102,95
92285,18.80%,82,23.20%,69,1.80%,56,1.80%,55,56
92301,140.10%,353,53.10%,147,2.00%,96,2.10%,98,96
92304,0.00%,,0.00%,,0.00%,,100.00%,,1
92305,5.30%,276,6.90%,262,9.90%,245,8.80%,223,205
92307,201.00%,295,71.90%,98,0.00%,57,13.60%,57,66
92308,200.90%,328,34.60%,109,28.60%,81,10.50%,63,57
92309,0.00%,3,200.00%,3,0.00%,1,0.00%,,
92311,142.60%,131,8.00%,54,11.10%,50,6.30%,45,48
92313,213.60%,138,100.00%,44,12.00%,22,38.90%,25,18
92314,4.40%,4872,10.50%,4668,29.10%,4226,20.50%,3274,2718
92315,3.80%,5175,10.20%,4987,22.90%,4524,33.40%,3681,2760
92316,59.60%,233,15.90%,146,0.00%,126,5.00%,126,120
92317,5.40%,136,3.20%,129,6.80%,125,17.00%,117,100
92318,0.00%,4,0.00%,,100.00%,,0.00%,1,
92321,0.40%,260,12.00%,261,1.30%,233,43.80%,230,160
92322,4.90%,467,2.10%,491,4.80%,481,28.60%,459,357
92324,80.60%,670,30.20%,371,8.40%,285,15.40%,263,228
92325,1.70%,4044,3.40%,4115,9.00%,3978,20.30%,3650,3035
92327,50.00%,3,0.00%,2,0.00%,,100.00%,,1
92332,0.00%,,0.00%,,0.00%,,0.00%,,
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92333,6.20%,635,8.50%,598,16.00%,551,12.60%,475,422
92335,44.70%,421,13.20%,291,5.90%,257,3.90%,273,284
92336,155.50%,534,34.00%,209,6.00%,156,1.80%,166,163
92337,97.00%,264,38.10%,134,5.80%,97,6.20%,103,97
92338,0.00%,1,0.00%,,0.00%,,0.00%,,
92339,5.00%,445,6.50%,424,16.00%,398,15.50%,343,297
92341,4.30%,649,9.30%,622,13.80%,569,15.50%,500,433
92342,144.40%,44,38.50%,18,7.10%,13,7.70%,14,13
92344,54.70%,727,31.30%,470,33.60%,358,46.40%,268,183
92345,147.70%,686,41.30%,277,5.90%,196,6.90%,185,173
92346,148.00%,630,62.80%,254,19.10%,156,12.00%,131,117
92347,160.00%,13,66.70%,5,50.00%,3,0.00%,2,2
92352,0.20%,6293,5.10%,6304,13.50%,5999,25.00%,5284,4227
92354,241.50%,222,66.70%,65,8.30%,39,24.10%,36,29
92356,73.00%,109,12.50%,63,16.70%,56,29.70%,48,37
92358,4.40%,213,13.30%,204,2.90%,180,6.70%,175,164
92359,65.10%,317,44.40%,192,47.80%,133,30.40%,90,69
92363,131.60%,44,90.00%,19,16.70%,10,9.10%,12,11
92364,50.00%,1,0.00%,2,100.00%,2,0.00%,1,1
92365,94.40%,35,5.90%,18,21.40%,17,6.70%,14,15
92368,225.00%,13,33.30%,4,25.00%,3,100.00%,4,2
92371,59.30%,892,63.70%,560,31.00%,342,29.90%,261,201
92372,59.80%,398,59.60%,249,79.30%,156,42.60%,87,61
92373,56.80%,776,42.70%,495,38.20%,347,29.40%,251,194
92374,153.30%,233,39.40%,92,15.80%,66,5.60%,57,54
92376,45.10%,354,10.40%,244,0.00%,221,7.50%,221,239
92377,141.00%,147,45.20%,61,2.30%,42,2.40%,43,42
92378,5.30%,180,13.20%,171,8.60%,151,18.80%,139,117
92382,3.10%,2560,7.50%,2482,15.60%,2309,10.70%,1997,1804
92385,11.40%,117,7.10%,105,12.60%,98,31.80%,87,66
92386,10.80%,1756,7.10%,1585,21.90%,1480,13.50%,1214,1070
92391,5.80%,932,6.10%,881,6.70%,830,26.50%,778,615
92392,179.10%,441,51.90%,158,7.10%,104,7.70%,112,104
92394,159.50%,205,27.40%,79,1.60%,62,11.30%,63,71
92395,128.20%,235,6.20%,103,3.00%,97,7.50%,100,93
92397,9.90%,1572,25.50%,1431,39.00%,1140,28.70%,820,637
92398,116.70%,13,50.00%,6,20.00%,4,25.00%,5,4
92399,46.40%,1861,32.70%,1271,33.20%,958,34.90%,719,533
92401,18.20%,9,21.40%,11,7.70%,14,13.30%,13,15
92404,49.20%,631,36.00%,423,7.70%,311,1.50%,337,332
92405,44.40%,348,6.60%,241,1.70%,226,6.90%,230,247
92407,61.60%,1107,27.30%,685,4.10%,538,7.00%,517,483
92408,53.10%,98,4.50%,64,6.90%,67,5.30%,72,76
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92410,33.80%,396,1.40%,296,8.50%,292,1.80%,319,325
92411,17.50%,242,0.50%,206,4.20%,205,4.00%,214,223
93558,0.00%,1,0.00%,,0.00%,,0.00%,,
93562,233.30%,10,50.00%,3,60.00%,2,25.00%,5,4
91901,13.60%,2430,26.90%,2140,39.80%,1686,25.40%,1206,962
91902,106.10%,68,50.00%,33,15.80%,22,29.60%,19,27
91905,34.90%,201,30.70%,149,21.30%,114,30.60%,94,72
91906,29.10%,413,35.00%,320,50.00%,237,22.50%,158,129
91910,293.90%,130,120.00%,33,34.80%,15,27.80%,23,18
91911,362.50%,111,60.00%,24,6.30%,15,6.70%,16,15
91913,297.10%,139,105.90%,35,41.70%,17,50.00%,12,8
91914,223.90%,217,116.10%,67,55.00%,31,42.90%,20,14
91915,711.80%,138,70.00%,17,66.70%,10,14.30%,6,7
91916,0.80%,385,13.50%,388,36.30%,342,14.10%,251,220
91917,11.80%,76,7.90%,68,12.50%,63,21.70%,56,46
91931,0.00%,72,0.00%,,0.00%,,0.00%,,
91932,222.20%,29,28.60%,9,0.00%,7,40.00%,7,5
91934,29.20%,31,26.30%,24,46.20%,19,13.30%,13,15
91935,15.00%,1330,19.40%,1157,25.70%,969,13.40%,771,680
91941,203.40%,88,31.80%,29,37.50%,22,14.30%,16,14
91942,633.30%,44,14.30%,6,75.00%,7,20.00%,4,5
91945,135.30%,40,41.70%,17,25.00%,12,0.00%,16,16
91950,160.00%,65,13.60%,25,15.40%,22,25.70%,26,35
91962,8.20%,407,15.30%,376,2.50%,326,8.90%,318,292
91963,13.20%,77,19.30%,68,21.30%,57,17.50%,47,40
91977,224.00%,311,43.30%,96,21.80%,67,14.60%,55,48
91978,83.00%,247,51.70%,135,39.10%,89,12.30%,64,57
91980,0.00%,4,100.00%,4,33.30%,2,25.00%,3,4
92003,87.60%,272,81.30%,145,100.00%,80,110.50%,40,19
92004,123.80%,47,0.00%,21,10.50%,21,58.30%,19,12
92007,366.70%,28,100.00%,6,0.00%,3,100.00%,,2
92008,172.40%,79,31.80%,29,15.80%,22,46.20%,19,13
92009,315.10%,440,100.00%,106,6.00%,53,42.90%,50,35
92010,284.00%,96,108.30%,25,20.00%,12,42.90%,10,7
92011,493.80%,95,33.30%,16,14.30%,12,180.00%,14,5
92014,183.70%,122,65.40%,43,62.50%,26,33.30%,16,12
92019,112.60%,1033,59.90%,486,44.80%,304,32.90%,210,158
92020,356.00%,114,92.30%,25,8.30%,13,9.10%,12,11
92021,80.70%,1068,72.80%,591,57.60%,342,41.80%,217,153
92024,170.00%,324,42.90%,120,20.00%,84,112.10%,70,33
92025,80.20%,337,47.20%,187,46.00%,127,52.60%,87,57
92026,54.80%,1763,44.00%,1139,56.90%,791,38.10%,504,365
92027,87.40%,806,96.30%,430,22.30%,219,65.70%,179,108
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92028,57.00%,2560,67.10%,1631,58.70%,976,37.90%,615,446
92029,60.50%,682,22.10%,425,10.10%,348,67.20%,316,189
92036,8.10%,966,18.30%,894,18.90%,756,24.20%,636,512
92037,123.40%,210,36.20%,94,9.50%,69,14.50%,63,55
92040,86.50%,927,49.70%,497,49.50%,332,12.70%,222,197
92054,220.00%,96,130.80%,30,8.30%,13,9.10%,12,11
92055,0.00%,1,0.00%,,0.00%,,0.00%,,
92056,413.90%,185,100.00%,36,28.60%,18,27.30%,14,11
92057,258.70%,391,113.70%,109,96.20%,51,36.80%,26,19
92058,403.00%,166,83.30%,33,38.50%,18,116.70%,13,6
92059,3.40%,84,22.50%,87,52.70%,71,19.00%,150,126
92060,19.80%,127,16.50%,106,0.00%,91,0.00%,,
92061,33.10%,229,68.60%,172,92.50%,102,32.50%,53,40
92064,109.80%,835,53.70%,398,27.00%,259,45.70%,204,140
92065,31.60%,2701,31.60%,2052,25.40%,1559,27.60%,1243,974
92066,20.00%,30,4.20%,25,4.30%,24,21.10%,23,19
92067,78.50%,441,28.60%,247,10.30%,192,241.20%,174,51
92069,114.20%,437,29.90%,204,4.00%,157,31.30%,151,115
92070,1.60%,125,11.40%,127,35.70%,114,58.50%,84,53
92071,214.40%,591,141.00%,188,62.50%,78,71.40%,48,28
92075,331.30%,69,128.60%,16,0.00%,7,250.00%,7,2
92078,148.90%,799,40.80%,321,35.70%,228,30.20%,168,129
92081,189.30%,81,40.00%,28,25.00%,20,100.00%,16,8
92082,39.20%,2207,65.80%,1585,112.40%,956,36.80%,450,329
92083,126.90%,59,85.70%,26,0.00%,14,27.30%,14,11
92084,59.30%,768,29.60%,482,24.00%,372,88.70%,300,159
92086,6.40%,351,4.10%,330,23.30%,317,40.40%,257,183
92091,74.00%,87,16.30%,50,34.40%,43,60.00%,32,20
92101,105.00%,41,25.00%,20,0.00%,16,11.10%,16,18
92102,17.80%,185,4.30%,157,10.40%,164,7.10%,183,197
92103,74.00%,127,30.40%,73,3.70%,56,20.60%,54,68
92104,33.80%,91,3.00%,68,0.00%,66,7.00%,66,71
92105,69.30%,303,0.60%,179,10.10%,178,5.70%,198,210
92106,154.50%,28,0.00%,11,10.00%,11,9.10%,10,11
92107,44.40%,65,7.10%,45,5.00%,42,4.80%,40,42
92108,800.00%,45,0.00%,5,66.70%,5,50.00%,3,2
92109,93.90%,64,13.80%,33,9.40%,29,11.10%,32,36
92110,70.80%,41,9.10%,24,0.00%,22,15.40%,22,26
92111,378.60%,134,16.70%,28,0.00%,24,0.00%,24,24
92113,6.70%,256,4.40%,240,10.40%,251,8.50%,280,306
92114,49.00%,149,7.50%,100,10.60%,93,11.90%,104,118
92115,178.20%,153,34.10%,55,5.10%,41,4.90%,39,41
92116,87.60%,182,26.00%,97,1.30%,77,1.30%,78,77
1,,,,,09302024.,,,,
,,,,,,,,,
,40.30%,449832,20.60%,320572,12.40%,265909,15.40%,236515,204868
92117,266.70%,154,44.80%,42,0.00%,29,0.00%,29,29
92118,240.00%,17,66.70%,5,50.00%,3,33.30%,2,3
92119,255.60%,256,105.70%,72,16.70%,35,50.00%,30,20
